rank,username,ptcg_id,area,points
396,Godkiller,tw79723871,苗栗縣,0pt
397,Langgam571,tw24570904,臺北市,0pt
398,Lisalu,tw43007249,臺中市,0pt
399,OGBB,tw06225308,臺中市,0pt
400,Shark,tw62820523,基隆市,0pt
401,walker188,tw54077721,新北市,0pt
402,Bobocat,tw42571684,臺中市,0pt
403,Chickenskin,tw32364107,臺北市,0pt
404,Hiro,tw52274144,高雄市,0pt
405,Jannun,tw79154733,桃園市,0pt
406,Keng,tw86152305,臺中市,0pt
407,Michael,tw71470461,新北市,0pt
408,Stayko,tw88117485,臺北市,0pt
409,ThatWenYen,tw33742727,高雄市,0pt
410,Ubry,tw56240698,新北市,0pt
411,Yeh,tw56972035,新竹市,0pt
412,Yuan,tw27453523,臺中市,0pt
413,BonusLeeRyan,tw46483831,臺南市,0pt
414,Jerry,tw05433925,臺南市,0pt
415,RRY,tw27821583,臺北市,0pt
416,YENWEITING,tw68090720,臺北市,0pt
417,Fddy30,tw20368538,桃園市,0pt
418,JOJO,tw14505717,高雄市,0pt
419,Loren,tw26953449,新北市,0pt
420,PADDY,tw09432546,桃園市,0pt
421,Renny,tw09066488,高雄市,0pt
422,SmallOK,tw63054410,臺南市,0pt
423,YiYu,tw95674193,高雄市,0pt
424,james,tw67348652,新北市,0pt
425,kaijuwoodo,tw86329593,臺南市,0pt
426,nehcyar_,tw51284044,桃園市,0pt
427,sin7n,tw40191085,高雄市,0pt
428,小昱,tw82566333,臺北市,0pt
429,黑獸傭兵團長,tw68856891,新北市,0pt
430,Dora,tw30001370,新竹市,0pt
431,LeonChen,tw26870425,高雄市,0pt
432,Tray,tw04119157,桃園市,0pt
433,Zihao,tw29437004,新北市,0pt
434,wei,tw51251163,臺南市,0pt
435,Ave,tw64209062,新北市,0pt
436,CH,tw44874553,高雄市,0pt
437,GHG-MXK,tw51046647,新北市,0pt
438,Girox,tw07615948,臺北市,0pt
439,HONG,tw93754264,新北市,0pt
440,Hollow,tw96093664,新北市,0pt
441,Ino,tw57907773,臺中市,0pt
442,Kevin,tw64436261,桃園市,0pt
443,Kinako,tw05040970,新北市,0pt
444,MoodyGUY,tw56619873,高雄市,0pt
445,SHAWN,tw27017315,臺北市,0pt
446,Sejong,tw83905127,宜蘭縣,0pt
447,Serendipity,tw74676901,臺南市,0pt
448,Sugar,tw32893143,臺北市,0pt
449,Tim,tw95566595,新北市,0pt
450,a1phaki,tw70378594,桃園市,0pt
451,hower,tw91106608,高雄市,0pt
452,島主,tw75863784,高雄市,0pt
453,Bruce,tw13298067,桃園市,0pt
454,HuiJungCheng,tw18429175,臺中市,0pt
455,Jonathan,tw24928885,臺北市,0pt
456,KT,tw64220350,嘉義市,0pt
457,SHEN,tw65991509,新北市,0pt
458,cycla,tw09152496,臺南市,0pt
