rank,username,ptcg_id,area,points
345,Donnie,tw12193405,新北市,0pt
345,Dora,tw29284087,屏東縣,0pt
345,Dragon,tw22476955,臺南市,0pt
345,Drew,tw44291883,臺北市,0pt
345,DukeLee,tw79670782,新北市,0pt
345,Dumbo,tw31961498,臺北市,0pt
345,Dylan,tw12392068,新北市,0pt
345,EDMUND,tw78733196,新北市,0pt
345,Eason,tw10205900,臺中市,0pt
345,Eason,tw52522133,臺中市,0pt
345,Eason,tw97358920,高雄市,0pt
345,Eason0711,tw57810177,新北市,0pt
345,Easonlai0728,tw23691954,臺中市,0pt
345,Eddie,tw24974897,高雄市,0pt
345,EddieYen,tw60640239,臺北市,0pt
345,Eden,tw45288429,新北市,0pt
345,Electricity,tw48740505,桃園市,0pt
345,Eli,tw32378643,臺南市,0pt
345,Elijah,tw29089098,新北市,0pt
345,Eric,tw53368463,高雄市,0pt
345,Ethan,tw67333846,宜蘭縣,0pt
345,Ethan,tw95130204,宜蘭縣,0pt
345,Ethan,tw44232483,新北市,0pt
345,Ethan,tw56877156,臺北市,0pt
345,EthanLu,tw54077525,新北市,0pt
345,EttaChen,tw09151478,新北市,0pt
345,Eugene,tw30916425,新北市,0pt
345,Evan,tw99613785,臺北市,0pt
345,FanYang,tw70891974,桃園市,0pt
345,Fanny,tw19825298,新北市,0pt
345,FawkesTai,tw84643712,桃園市,0pt
345,Felix,tw09467866,臺北市,0pt
345,Fiona,tw96192713,新北市,0pt
345,Fly,tw42595931,苗栗縣,0pt
345,FroakieOscar,tw39404700,新北市,0pt
345,GHO,tw18716707,宜蘭縣,0pt
345,GQuuuuuuX,tw99165596,新竹市,0pt
345,Gala,tw56123630,臺中市,0pt
345,Gary,tw36271539,新北市,0pt
345,Gary,tw38062533,新北市,0pt
345,Gene,tw58969560,苗栗縣,0pt
345,George,tw19270318,臺中市,0pt
345,Gino,tw55391620,臺北市,0pt
345,Godan,tw61019343,宜蘭縣,0pt
345,Gordonlin117,tw70537514,桃園市,0pt
345,Grace,tw77394923,臺北市,0pt
345,Greentea,tw83883059,臺北市,0pt
345,Greg,tw32594685,臺北市,0pt
345,HAN,tw34492473,高雄市,0pt
345,HOWARD,tw52074493,臺北市,0pt
345,Hahandrewang,tw08619274,新北市,0pt
345,Hango,tw24385136,臺北市,0pt
345,Hanson0215,tw34141540,新竹縣,0pt
345,Harry,tw66551687,新北市,0pt
345,Harry,tw46557839,雲林縣,0pt
345,Harry,tw90893572,高雄市,0pt
345,HarryWang,tw41202079,臺北市,0pt
345,Henry,tw81406841,臺北市,0pt
345,Hirofumi,tw60649131,臺北市,0pt
345,Hong,tw84495423,新北市,0pt
345,Howard,tw87467841,新北市,0pt
345,Howard,tw10033867,新竹縣,0pt
345,Howard,tw04500681,臺南市,0pt
345,Howear,tw27378980,彰化縣,0pt
345,Huey,tw65653663,臺南市,0pt
345,Hung/3050,tw70232722,彰化縣,0pt
345,ILOVEFIREFLY,tw73103655,高雄市,0pt
345,Ian,tw21946513,新北市,0pt
345,Ian,tw15505264,桃園市,0pt
345,Issac,tw11986118,臺北市,0pt
345,JIMHUANG,tw59377214,新北市,0pt
345,JJ,tw58189327,新竹縣,0pt
345,JJ,tw44723280,臺中市,0pt
345,JJJ109256,tw32908561,臺北市,0pt
345,JOJO,tw59947617,彰化縣,0pt
345,JOJO,tw07742633,高雄市,0pt
345,Jack,tw88583244,高雄市,0pt
345,Jacon,tw98664356,新北市,0pt
345,James,tw34714638,彰化縣,0pt
345,James,tw62034080,臺北市,0pt
345,James,tw38485041,高雄市,0pt
345,James1015,tw15495408,臺東縣,0pt
345,Jason,tw31602833,宜蘭縣,0pt
345,Jason,tw52254665,新竹市,0pt
345,Jason,tw55353975,臺中市,0pt
345,Jason:),tw66900774,新北市,0pt
345,JasonKo0503,tw87105923,臺北市,0pt
345,Jayshen,tw67993988,臺北市,0pt
345,Jayshen,tw91203979,臺北市,0pt
345,Jean,tw04463149,新北市,0pt
345,Jekai,tw39358496,南投縣,0pt
345,Jerry,tw38515370,嘉義市,0pt
345,Jerry,tw33969659,臺中市,0pt
345,Jerry,tw05538206,臺北市,0pt
345,Jerry,tw36911783,臺北市,0pt
345,Jerrychou,tw06731293,臺北市,0pt
345,Jerrylee,tw91492623,臺北市,0pt
345,Jim,tw47502739,新北市,0pt
345,Jim,tw27218185,桃園市,0pt
345,Jimmy,tw81229373,高雄市,0pt
345,Jimmy,tw74634200,高雄市,0pt
345,Jimmy95391103,tw75335271,臺南市,0pt
345,Jin,tw16799684,新北市,0pt
345,Jirachiteam_Larry,tw50039394,臺南市,0pt
345,Jirachiteam_jason,tw54204898,臺南市,0pt
345,JodeJoestar,tw23411379,新北市,0pt
345,JoePan,tw12944938,高雄市,0pt
345,Joey,tw98048714,新北市,0pt
345,Joey,tw32513728,桃園市,0pt
345,JoeyLiu,tw29058099,新竹市,0pt
345,Johnny,tw91224803,新北市,0pt
345,Jonathan,tw43776354,屏東縣,0pt
345,JordanCho,tw16835312,臺中市,0pt
345,Justin,tw25944264,新北市,0pt
345,Justin,tw64888775,臺南市,0pt
345,Justin-LIN,tw36875462,臺中市,0pt
345,K,tw48688668,臺中市,0pt
345,K.C,tw62910201,苗栗縣,0pt
345,KATE,tw25676769,新北市,0pt
345,KAYDEN,tw78585844,新北市,0pt
345,KH_YICHEN,tw48931836,高雄市,0pt
345,Kai,tw95441769,新北市,0pt
345,Kai100,tw46865426,高雄市,0pt
345,Kate^_^,tw69357931,桃園市,0pt
345,Ken,tw87429407,高雄市,0pt
345,Kevin,tw54380998,臺北市,0pt
345,Kevin,tw78940135,高雄市,0pt
345,Kevin1207,tw17980735,新竹縣,0pt
345,KevinLiu,tw99637322,臺中市,0pt
345,Kimi,tw95616910,臺中市,0pt
345,Kobe,tw90557440,臺中市,0pt
345,KuoTingAn,tw32169304,桃園市,0pt
345,Kyle,tw60749156,臺中市,0pt
345,Kyle,tw86238686,臺南市,0pt
345,LF,tw81039332,新北市,0pt
345,LISEN,tw15581512,臺北市,0pt
345,LIU-EN-KAI,tw01779956,臺中市,0pt
345,LOYANKAI,tw95312126,臺中市,0pt
345,LYNCH,tw23566752,宜蘭縣,0pt
345,Larry,tw15448929,新北市,0pt
345,Leo,tw75475628,臺北市,0pt
345,Leo,tw82423242,臺北市,0pt
345,Leo,tw11110528,高雄市,0pt
345,Leo,tw67974830,高雄市,0pt
345,LeoChen,tw98507163,臺北市,0pt
345,Leochen,tw48730092,宜蘭縣,0pt
345,Leon,tw95690883,桃園市,0pt
345,Ligigang,tw72010204,新竹縣,0pt
345,Lin,tw63086366,新北市,0pt
345,Lin,tw51822143,高雄市,0pt
345,Linpochen,tw12646398,臺南市,0pt
345,Linz,tw48139608,臺北市,0pt
345,Lion,tw69196106,屏東縣,0pt
345,Lono4716,tw42965205,臺南市,0pt
345,Louis0604,tw79490964,新北市,0pt
345,Loyanhung,tw68854118,臺中市,0pt
345,Lucas,tw07613662,彰化縣,0pt
345,Lucas,tw12987551,新北市,0pt
345,Lucas,tw98262450,桃園市,0pt
345,Lucas,tw86533118,臺南市,0pt
345,Lucy,tw04506312,新北市,0pt
345,Luke,tw98325703,桃園市,0pt
345,Luyajing,tw16992270,嘉義市,0pt
345,MINEN,tw35592681,苗栗縣,0pt
345,MOLLY,tw14559623,臺北市,0pt
345,Mango,tw36357779,新竹市,0pt
345,Marchlelo,tw65902993,臺中市,0pt
345,Mario,tw52987791,臺北市,0pt
