rank,username,ptcg_id,area,points
405,OGBB,tw06225308,臺中市,45pt
405,walker188,tw54077721,新北市,45pt
410,Bobocat,tw42571684,臺中市,44pt
410,Chickenskin,tw32364107,臺北市,44pt
410,Hiro,tw52274144,高雄市,44pt
410,Jannun,tw79154733,桃園市,44pt
410,Michael,tw71470461,新北市,44pt
410,Stayko,tw88117485,臺北市,44pt
410,ThatWenYen,tw33742727,高雄市,44pt
410,Ubry,tw56240698,新北市,44pt
410,Yeh,tw56972035,新竹市,44pt
410,Yuan,tw27453523,臺中市,44pt
410,jk,tw87621292,高雄市,44pt
421,BonusLeeRyan,tw46483831,臺南市,43pt
421,Jerry,tw05433925,臺南市,43pt
421,RRY,tw27821583,臺北市,43pt
421,YENWEITING,tw68090720,臺北市,43pt
421,Serendipity,tw74676901,臺南市,43pt
426,Fddy30,tw20368538,桃園市,42pt
426,JOJO,tw14505717,高雄市,42pt
426,Loren,tw26953449,新北市,42pt
426,PADDY,tw09432546,桃園市,42pt
426,Renny,tw09066488,高雄市,42pt
426,SmallOK,tw63054410,臺南市,42pt
426,YiYu,tw95674193,高雄市,42pt
426,james,tw67348652,新北市,42pt
426,kaijuwoodo,tw86329593,臺南市,42pt
426,nehcyar_,tw51284044,桃園市,42pt
426,sin7n,tw40191085,高雄市,42pt
426,小昱,tw82566333,臺北市,42pt
426,黑獸傭兵團長,tw68856891,新北市,42pt
439,Dora,tw30001370,新竹市,41pt
439,LeonChen,tw26870425,高雄市,41pt
439,Tray,tw04119157,桃園市,41pt
439,Zihao,tw29437004,新北市,41pt
439,wei,tw51251163,臺南市,41pt
439,HaoJun,tw11795582,高雄市,41pt
439,TW-WANG_YI_WEN,tw12008699,高雄市,41pt
446,Ave,tw64209062,新北市,40pt
446,CH,tw44874553,高雄市,40pt
446,GHG-MXK,tw51046647,新北市,40pt
446,Girox,tw07615948,臺北市,40pt
446,HONG,tw93754264,新北市,40pt
446,Hollow,tw96093664,新北市,40pt
446,Ino,tw57907773,臺中市,40pt
446,Kevin,tw64436261,桃園市,40pt
446,Kinako,tw05040970,新北市,40pt
446,MoodyGUY,tw56619873,高雄市,40pt
446,SHAWN,tw27017315,臺北市,40pt
446,Sejong,tw83905127,宜蘭縣,40pt
446,Sugar,tw32893143,臺北市,40pt
446,Tim,tw95566595,新北市,40pt
446,hower,tw91106608,高雄市,40pt
446,島主,tw75863784,高雄市,40pt
446,Alex,tw64729411,臺北市,40pt
463,Bruce,tw13298067,桃園市,39pt
463,HuiJungCheng,tw18429175,臺中市,39pt
463,Jonathan,tw24928885,臺北市,39pt
463,KT,tw64220350,嘉義市,39pt
463,cycla,tw09152496,臺南市,39pt
463,weichenghuang,tw37274871,彰化縣,39pt
463,Thomas,tw04945340,臺北市,39pt
470,Bacon,tw25275319,臺北市,38pt
470,Ian,tw92891852,新北市,38pt
470,LAI-BO-KAI,tw23930741,宜蘭縣,38pt
470,Leo,tw98129328,新竹縣,38pt
470,MorganTsai,tw68822994,新竹市,38pt
470,Raymond,tw49082254,臺中市,38pt
470,Wu,tw97442996,臺南市,38pt
470,hungry_to_eat,tw05346170,雲林縣,38pt
470,jim,tw72244502,苗栗縣,38pt
470,kobee,tw79925801,嘉義縣,38pt
480,BNC_Blast,tw89606971,高雄市,37pt
480,Caspar,tw40870196,臺中市,37pt
480,HF_wei,tw15800518,桃園市,37pt
480,LCC..,tw32722359,雲林縣,37pt
480,SD,tw05197795,新北市,37pt
480,StoneMin,tw36240497,臺中市,37pt
480,Ting,tw76312809,新北市,37pt
480,callyshih,tw54739989,新北市,37pt
480,john1029,tw04057117,臺北市,37pt
480,張育銓,tw26157252,高雄市,37pt
490,AJin,tw18584107,臺中市,36pt
490,BNC-翔寶,tw09704151,高雄市,36pt
490,James,tw87713934,臺北市,36pt
490,Jun,tw27673402,桃園市,36pt
490,LSS,tw54378013,新北市,36pt
490,MAX,tw50797911,新北市,36pt
490,Nanaya,tw03168456,宜蘭縣,36pt
490,OP_FAN,tw63573774,臺中市,36pt
490,PJ,tw70654328,高雄市,36pt
490,RE,tw59037293,新北市,36pt
490,Ray,tw61690221,高雄市,36pt
490,Rayop,tw12619457,彰化縣,36pt
490,Rex,tw21941780,高雄市,36pt
490,SHIAO,tw23540064,桃園市,36pt
490,ShaoWeiChang,tw44744070,桃園市,36pt
490,Wowowo,tw06400208,臺中市,36pt
490,murphy0827,tw58776465,新北市,36pt
507,GZT-00,tw65824965,臺中市,35pt
507,Jeff,tw12134806,臺中市,35pt
507,Yen,tw81218142,新竹縣,35pt
507,asus,tw25961863,嘉義縣,35pt
507,Dto,tw62020476,彰化縣,35pt
507,Xepher,tw47440588,臺北市,35pt
513,A9_Weberlolz,tw00531440,桃園市,34pt
513,AddEgg0717,tw86324740,臺北市,34pt
513,BestDogeEver,tw84828731,新北市,34pt
513,Long,tw57612114,新北市,34pt
513,Maomao,tw79180495,新北市,34pt
513,MickLiau,tw98649601,苗栗縣,34pt
513,Mr.O,tw90147793,高雄市,34pt
513,NPUST_Huaba,tw91797530,屏東縣,34pt
513,R52,tw03478711,臺中市,34pt
513,Rachel,tw73237577,新北市,34pt
