record_type,round,page_index,table_no,player_no,player_id,player_name,player_score,opponent_id,opponent_name,opponent_score,rank,total_score,omw_pct,wo_score,avomw_pct
round_pairing,Round 4,1,605,704,tw02105248,,9,tw40670915,,9,,,,,
round_pairing,Round 4,1,606,737,tw33562653,,9,tw99268898,,9,,,,,
round_pairing,Round 4,1,606,795,tw99268898,,9,tw33562653,,9,,,,,
round_pairing,Round 4,1,607,768,tw70719415,,9,tw91677599,,9,,,,,
round_pairing,Round 4,1,607,789,tw91677599,,9,tw70719415,,9,,,,,
round_pairing,Round 4,1,608,1038,tw80676630,,6,tw55359182,,9,,,,,
round_pairing,Round 4,1,608,1732,tw55359182,,9,tw80676630,,6,,,,,
round_pairing,Round 4,1,609,714,tw13785127,,6,tw42986392,,6,,,,,
round_pairing,Round 4,1,609,748,tw42986392,,6,tw13785127,,6,,,,,
round_pairing,Round 4,1,610,719,tw18059812,,6,tw94009574,,6,,,,,
round_pairing,Round 4,1,610,791,tw94009574,,6,tw18059812,,6,,,,,
round_pairing,Round 4,1,611,728,tw28434285,,6,tw89973725,,6,,,,,
round_pairing,Round 4,1,611,786,tw89973725,,6,tw28434285,,6,,,,,
round_pairing,Round 4,1,612,1483,tw44119672,,6,tw30267620,,6,,,,,
round_pairing,Round 4,1,612,730,tw30267620,,6,tw44119672,,6,,,,,
round_pairing,Round 4,1,613,744,tw38952785,,6,tw65972314,,6,,,,,
